1,919
1,914
1,927
1,932
1,922
1,929
1,917
1,919
1,916
1,925
1,930
1,931
1,916
1,923
1,916
1,914
1,921
1,920
1,914
1,922
1,932
1,929
1,920
1,919
1,924
1,931
1,927
1,932
1,930
1,931
1,929
1,917
1,927
1,935
1,920
1,923
1,923
1,917
1,920
1,922
1,933
1,933
1,914
1,920
1,915
1,927
1,932
1,916
1,927
1,915
1,921
1,924
1,921
1,932
1,919
1,919
1,920
1,918
1,932
1,928
1,926
1,931
1,918
1,931
1,915
1,915
1,922
1,913
1,916
1,926
1,933
1,928
1,923
1,932
1,924
1,928
1,927
1,923
1,915
1,917
1,926
1,927
1,920
1,923
1,924
1,926
1,917
1,933
1,928
1,916
